Respondent ID_x,Collector ID_x,Start Date_x,End Date_x,IP Address_x,name,ID#_x,location_x,participation_frequency,age_group,profession,Unnamed: 11,training_level,recieved_training_IDD,has_experience_IDD,experience_IDD_count,interaction_frequency_IDD,comfort_level_IDD_pre,PersonCenteredCare_InPractice_pre,BPS_knowledge_pre,SBAR_familiar_pre,familiar_with_OT_pre,familiar_with_IPC_pre,prep_for_collaboration_pre,prior_IPC_experience_pre,yes_other,Unnamed: 26_x,Unnamed: 27_x,prior_IPC_experience_time,frequency_collaboration_pre,How important is it for you to establish trust with other healthcare providers to provide high-quality care for patients?,Respondent ID_y,Collector ID_y,Start Date_y,End Date_y,IP Address_y,Unnamed: 5,ID#_y,location_y,new_exposure_IDD,comfort_level_IDD_post,confidence_level_IDD_post_event,prep_for_collaboration_post,insights_gained,PersonCenteredCare_InPractice_post,BPS_knowledge_post,SBAR_familiar_post,use_or_observe_SBR_post,familiar_with_OT_post,IPC_experience_post,frequency_collaboration_post,interest_IDD_post,trust_in_team_post,respect_IPC,prior_IPC_experience_post,Unnamed: 26_y,Unnamed: 27_y,Unnamed: 28,IPC_value_post,has_experience_event,interest_in_future_events,IPC_negative_impact,child_response_IPC,suggestion
115000000000.0,435224173,2025-04-04 9:03:55,2025-04-04 9:07:55,174.208.33.96,MO,33,Buffalo,This is my first time,35-44,Hygenist,,Practicing Professional,No,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Neutral,3,Somewhat familiar,Neutral,Very prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:34:15,2025-04-29 13:19:04,174.208.42.102,hygienist,33,Buffalo,Yes,Somewhat more comfortable,Very confident,Extremely prepared,How to help others gain confidence in their treatments while working with students!,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists",,,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,"I would suggest to keep one extra hygiene chair with the IDD children so that as one hygienist is done, they can move to the next chair to help keep the flow for the IDD patients move along."
115000000000.0,435224173,2025-09-04 10:44:21,2025-09-04 10:47:55,172.98.137.25,AG,2,Kansas City,This is my first time,25-34,Dental Student,,Fourth-year student,No,No,Not Applicable,Rarely (less than once a month),Neutral,Frequently,Neutral,1,Not familiar at all,Somewhat familiar,Not prepared at all,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important,119000000000.0,460213498,2025-09-09 13:51:39,2025-09-09 13:55:00,174.210.167.219,dental student,2,Kansas City,Yes,About the same as before,Slightly confident,Slightly prepared,Tell Show Do is very helpful for this environment,Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Neutral,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"No, not at all",Very positively,No comment
115000000000.0,435224173,2025-04-04 9:04:03,2025-04-04 9:08:35,151.181.86.221,AO,6,Buffalo,3-5 times,35-44,Hygenist,,Practicing Professional,No,Yes,1-2 years,Frequently (weekly or more),Somewhat comfortable,Frequently,Neutral,1,Somewhat familiar,Somewhat familiar,Very prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,More than 5 years,Always,Very important,119000000000.0,460213498,2025-04-05 10:53:30,2025-04-29 13:17:53,71.186.147.77,hygienist,6,Buffalo,Yes,Much more comfortable,Very confident,Very prepared,"That the slightest, smallest things can make a difference",Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, somewhat",Very positively,
115000000000.0,435224173,2025-04-04 9:02:25,2025-04-04 9:06:04,174.208.33.106,JO,21,Buffalo,This is my first time,25-34,Dental Student,,Third-year student,No,Yes,Less than 1 month,Never,Neutral,Frequently,Neutral,1,Not familiar at all,Slightly unfamiliar,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important,119000000000.0,460213498,2025-04-26 14:30:06,2025-04-29 13:16:44,69.12.19.10,dental student,21,Buffalo,Yes,Much more comfortable,Somewhat confident,Somewhat prepared,"Distraction techniques, increased speed, and the vast differences required form person to person",Always,Somewhat familiar,Neutral,"Yes, frequently",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",people coordinating the event,Extremely valuable,Excellent,Yes,"No, no really at all",Somewhat positively,I would definitely suggest more chairs next time to move more efficiently and more opportunities for same day operative care and other needs
115000000000.0,435224173,2025-09-03 14:10:55,2025-09-03 14:17:10,136.33.222.182,LO,28,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,No,Not Applicable,Never,Neutral,Frequently,Neutral,1,Not familiar at all,Neutral,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Rarely,Very important,119000000000.0,460213498,2025-09-09 14:00:14,2025-09-09 14:04:18,206.107.134.46,OT student,28,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Somewhat prepared,That every child’s needs is different,Always,Neutral,Neutral,"Yes, occasionally",Somewhat familiar,Improved significantly,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,More toys and I interact with !
115000000000.0,435224173,2025-09-03 16:49:09,2025-09-03 17:40:38,74.87.163.29,GW,15,Kansas City,This is my first time,18-24,Hygiene Student,,Second-year student,No,Yes,1-2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Not familiar at all,1,Not familiar at all,Not familiar at all,Very prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,1-2 years,Sometimes,Very important,119000000000.0,460213498,2025-09-09 14:00:13,2025-09-09 14:04:15,172.59.224.43,DH student,15,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,How to talk to the kids. More show and tell is needed,Always,Somewhat familiar,Very confident,"No, but I think it could have been useful",Somewhat familiar,Improved significantly,Somewhat agree,"Yes, somewhat","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,No
115000000000.0,435224173,2025-04-11 8:59:13,2025-04-11 9:02:26,166.199.150.92,KM,26,Pittsburgh,This is my first time,25-34,Hygenist,,Practicing Professional,No,Yes,Less than 1 month,Occasionally (a few times a month),Neutral,Frequently,Slightly unfamiliar,2,Very familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Important,119000000000.0,460213498,2025-04-27 20:17:43,2025-04-29 13:33:03,24.131.248.111,hygienist,26,Pittsburgh,Yes,About the same as before,Neutral,Somewhat prepared,Na,Frequently,Neutral,Neutral,"No, but I think it could have been useful",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat",Neutral,"Yes, most of the time",,"Yes, with Occupational Therapists",,,Somewhat valuable,Neutral,Maybe,"No, no really at all",Somewhat positively,It would help to have a dentist who has experience working with children or a dentist who has done mission work before.
115000000000.0,435224173,2025-09-04 10:44:13,2025-09-04 10:47:09,136.37.72.221,JUT,23,Kansas City,3-5 times,25-34,Dental Student,,Fourth-year student,No,No,Not Applicable,Never,Slightly uncomfortable,Frequently,Slightly unfamiliar,1,Not familiar at all,Somewhat familiar,Slightly unprepared,"No, I have not worked on an interprofessional team",,,,Not applicable,Rarely,Very important,119000000000.0,460213498,2025-09-09 13:51:30,2025-09-09 14:01:22,107.77.206.214,dental student,23,Kansas City,Yes,Somewhat more comfortable,Slightly confident,Slightly prepared,"Changes to environment such as dimming light, calming music. Getting thorough history such as how patient likes to communicate and specific triggers. Desensitization.",Always,Slightly unfamiliar,Not confident at all,"No, but I think it could have been useful",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Slightly valuable,Good,Yes,"No, no really at all",Somewhat positively,Have specific roles for the members involved. Sometimes too many providers would crowd the rooms and can overstimulate the kids. Have more than one treatment chair.
115000000000.0,435224173,2025-04-04 9:02:16,2025-04-04 9:05:06,174.208.35.213,AM,5,Buffalo,This is my first time,35-44,Dentist,,Practicing Professional,Yes,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,More than 5 years,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:51:41,2025-04-29 13:18:24,174.208.35.213,Dentist,5,Buffalo,Yes,Much more comfortable,Very confident,Somewhat prepared,I appreciated watching the OTs working with the patients and have gained some tips and tools that I can easily integrate into my practice,Always,Very familiar,Very confident,"Yes, frequently",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists",,,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,I provided care in the IDD room. The treatment area was a bit tight and noisy for the amount of staff and children we were treating. We also didn’t get a lunch break or opportunity to meet the Bills players.
115000000000.0,435224173,2025-09-03 14:10:25,2025-09-03 14:14:34,169.147.3.26,DS,12,Kansas City,This is my first time,45-54,Occupational Therapist,,Practicing Professional,Yes,Yes,More than 2 years,Never,Somewhat comfortable,Frequently,Somewhat familiar,4,Slightly unfamiliar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists",,"PT, RN, MD, Social Workers, Teachers, etc.",More than 5 years,Frequently,Very important,119000000000.0,460213498,2025-09-09 14:00:30,2025-09-09 14:03:37,172.59.170.151,OT,12,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,"The power of therapeutic use of self, visual supports, priming, encouragement, and COLLABORATION and COMMUNICATION!",Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,"Loved it all! I will debrief with Elisabeth about the experience-all positive, yet love the opportunity ti collaborate."
