Respondent ID,Collector ID,Start Date,End Date,IP Address,,NAME,PostNAME,ID#,Which TeamSmile event are you attending?,Did this event provide you with new exposure to treating children with Intellectual and Developmental Disabilities (IDD)?,"How comfortable do you now feel in providing care for patients with special healthcare needs (SHCN), including IDD, compared to before the event?",How confident do you feel in managing children with IDD in a clinical setting after participating in TeamSmile?,How prepared do you now feel to interact with children with disabilities in your clinical training or practice?,What specific skills or insights did you gain from participating in this event?,"How often do you think you will incorporate a person-centered approach to care (focusing on the patient’s preferences, needs, and values) in your practice after this event?","After this event, how well do you understand how the biopsychosocial model of care (biological, psychological, and social factors) can influence patient outcomes?","How confident are you in applying structured communication frameworks such as SBAR (Situation, Background, Assessment, Recommendation) in your professional interactions after the event?",Did you use or observe the use of structured communication frameworks such as SBAR during the event?,"After participating in TeamSmile, how would you rate your understanding of occupational therapy (OT) interventions for patients with IDD during dental appointments?",How has your understanding of interprofessional collaboration (IPC) in healthcare and the roles of different professionals improved after attending this event?,Did the interprofessional collaboration during the event improve your understanding of the quality of care provided and the roles of different healthcare professionals?,Did participating in the interprofessional aspect of the event increase your interest in working with other healthcare professionals in the future or with the SHCN population?,"Has your perspective changed regarding the importance of establishing trust with other healthcare providers (e.g., OTs, dentists) to deliver high-quality patient care?",Did you feel mutual respect was demonstrated between the different professions during the event?,Did the event provide you with opportunities to work as part of an interprofessional team? (Select all that apply),,,,"If you worked as part of an interprofessional team, how valuable was this experience for your professional development?",How would you rate your overall experience at the TeamSmile event?,Would you participate in a TeamSmile event again in the future?,Did the presence of other healthcare professionals negatively impact treatment time or efficiency?,How do you think the children responded to the interprofessional care they received?,What suggestions do you have to improve future TeamSmile events?
1.19E+11,460213498,2025-09-09 16:45:52,2025-09-09 16:56:57,173.197.47.18,Other - DTA (no pre),JM,JM,20,Kansas City,Yes,Much more comfortable,Very confident,Not at all prepared,"I loved seeing the adaptive room for children with disabilities! The hygienists, dentists, and OTs were great; utilizing a range of skills to support each child.",Always,Neutral,Neutral,"No, but I think it could have been useful",Very familiar,Improved significantly,Strongly agree,"Yes, significantly",Neutral,"Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,N/A
1.19E+11,460213498,2025-09-09 14:00:14,2025-09-09 14:04:18,206.107.134.46,OT student,LO,LO,28,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Somewhat prepared,That every child’s needs is different,Always,Neutral,Neutral,"Yes, occasionally",Somewhat familiar,Improved significantly,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,More toys and I interact with !
1.19E+11,460213498,2025-04-04 13:52:15,2025-04-29 13:26:30,174.208.33.43,dentist (resident),TS,TS,50,Buffalo,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,Working with OT,Always,Neutral,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,None
1.19E+11,460213498,2025-04-04 13:39:47,2025-04-29 13:27:42,172.58.240.206,OT,JT,JT,24,Buffalo,Yes,About the same as before,Neutral,Somewhat prepared,Thinking on the spot,Frequently,Somewhat familiar,Slightly confident,"Yes, occasionally",Neutral,Improved slightly,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, most of the time",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, somewhat",Somewhat positively,N/A
1.19E+11,460213498,2025-04-26 14:30:06,2025-04-29 13:16:44,69.12.19.10,dental student,JO,JO,21,Buffalo,Yes,Much more comfortable,Somewhat confident,Somewhat prepared,"Distraction techniques, increased speed, and the vast differences required form person to person",Always,Somewhat familiar,Neutral,"Yes, frequently",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",people coordinating the event,Extremely valuable,Excellent,Yes,"No, no really at all",Somewhat positively,I would definitely suggest more chairs next time to move more efficiently and more opportunities for same day operative care and other needs
1.19E+11,460213498,2025-09-09 14:00:27,2025-09-09 14:03:10,206.107.134.46,OT student,BB,BB,7,Kansas City,Yes,Much more comfortable,Somewhat confident,Very prepared,All kids are different,Always,Somewhat familiar,Somewhat confident,"Yes, frequently",Very familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,More structure
1.19E+11,460213498,2025-09-09 14:00:10,2025-09-09 14:02:18,108.147.176.11,OT student,ES,ES,13,Kansas City,Yes,Much more comfortable,Very confident,Very prepared,Learning how to use special interests to manage children and help them through unfamiliar experiences,Always,Somewhat familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,i don’t have any
1.19E+11,460213498,2025-09-09 14:00:36,2025-09-09 14:03:57,192.76.4.17,OT student,RA,RA,41,Kansas City,Yes,Much more comfortable,Very confident,Very prepared,Its important ti highlight that every child has different experiences.,Always,Somewhat familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,I think it was an excellent experience!!!
1.19E+11,460213498,2025-04-04 13:52:23,2025-04-29 13:24:07,151.181.86.223,dental student,MAM,MAM,31,Buffalo,Yes,Much more comfortable,Somewhat confident,Very prepared,I gained insight on techniques that OTs use to help with patient care and increasing patient comfort and cooperation,Always,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Get a larger space for the IDD clinic to allow for more control of noise
1.19E+11,460213498,2025-09-09 14:00:30,2025-09-09 14:03:04,108.147.103.43,OT student,CC,CC,9,Kansas City,Yes,Much more comfortable,Somewhat confident,Very prepared,Individual sensory needs,Always,Somewhat familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Do it again!
1.19E+11,460213498,2025-09-09 13:59:57,2025-09-09 14:04:26,172.59.73.251,OT,LW,LW,29,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,The importance of being client centered,Always,Somewhat familiar,Very confident,"Yes, frequently",Very familiar,Somewhat improved,Strongly agree,"Yes, somewhat",Neutral,"Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",Paraprofessional,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Different bus arrival times
1.19E+11,460213498,2025-09-09 14:00:30,2025-09-09 14:04:03,172.59.74.228,hygienist,SF,SF,43,Kansas City,No,Somewhat more comfortable,Somewhat confident,Very prepared,"Having a specific role, communication, recognizing behaviors",Always,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, no really at all",Somewhat positively,"Positioning of chairs, materials provided"
1.19E+11,460213498,2025-09-09 14:00:13,2025-09-09 14:04:15,172.59.224.43,DH student,GW,GW,15,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,How to talk to the kids. More show and tell is needed,Always,Somewhat familiar,Very confident,"No, but I think it could have been useful",Somewhat familiar,Improved significantly,Somewhat agree,"Yes, somewhat","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,No
1.19E+11,460213498,2025-09-09 14:00:20,2025-09-09 14:04:56,108.147.176.107,hygienist,AH,AH,3,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,I loved the additional tools they brought in for the children with IDD,Always,Very familiar,Not confident at all,"No, but I think it could have been useful",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",Administrative team,Extremely valuable,Excellent,Yes,"No, no really at all",Very positively,Moving the chair to face the wall and not the door where people were coming in and out.
1.19E+11,460213498,2025-04-11 9:00:16,2025-04-29 13:41:14,199.76.117.26,OT,KC,KC,25,Pittsburgh,Yes,Much more comfortable,Very confident,Extremely prepared,How to create a quiet space in a very busy environment,Always,Very familiar,Somewhat confident,"Yes, frequently",Very familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Good,Yes,"No, not at all",Very positively,"Improved day of coordination, increased number of chairs and dentists in the IDD space to improve timeliness."
1.19E+11,460213498,2025-09-09 14:00:16,2025-09-09 14:02:58,174.196.38.165,OT student,SS,SS,44,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,SBAR communication,Always,Very familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,None
