Respondent ID,Collector ID,Start Date,End Date,IP Address,NAMES,ID#,Which TeamSmile event are you attending?,How many times have you participated in a TeamSmile event?,What is your age group?,What is your profession?,,What is your current level of training?,Have you received any formal training in treating children with Intellectual and Developmental Disabilities (IDD)?,"Have you had prior experience working with children with Intellectual and Developmental Disabilities (IDD), either before or after graduation?","If yes to the previous question, how much experience do you have working with children with IDD?",How often do you interact with children with disabilities in your clinical training or practice?,"How comfortable are you in providing care for patients with special healthcare needs (SHCN), including IDD?","How often do you incorporate a person-centered approach to care (focusing on the patient’s preferences, needs, and values) in your practice?","How well do you understand how the biopsychosocial model of care (biological, psychological, and social factors) influences patient outcomes in your practice?","SBAR How familiar are you with structured communication frameworks such as SBAR (Situation, Background, Assessment, Recommendation)?",How familiar are you with occupational therapy (OT) interventions used for patients with intellectual and developmental disabilities (IDD) during dental appointments to provide holistic care?,How familiar are you with interprofessional collaboration (IPC) in healthcare and the roles of different professionals involved in patient care?,"How prepared do you feel to collaborate with other healthcare professionals (e.g., occupational therapists, dentists, physicians) to provide care for children with IDD?",Have you worked as part of an interprofessional team during or after your education? (Select all that apply),,,,"If you have worked on an interprofessional team, how long was your experience?","How often do you collaborate with other healthcare providers (e.g., occupational therapists, dentists, physicians) to support patients with special healthcare needs?",How important is it for you to establish trust with other healthcare providers to provide high-quality care for patients?
1.15E+11,435224173,2025-04-11 8:59:20,2025-04-11 9:03:46,199.76.117.24,JK,19,Pittsburgh,This is my first time,25-34,Hygenist,,Practicing Professional,No,Yes,1-2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Neutral,3,Not familiar at all,Slightly unfamiliar,Very prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,More than 5 years,Frequently,Important
1.15E+11,435224173,2025-04-04 9:03:55,2025-04-04 9:07:55,174.208.33.96,MO,33,Buffalo,This is my first time,35-44,Hygenist,,Practicing Professional,No,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Neutral,3,Somewhat familiar,Neutral,Very prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Very important
1.15E+11,435224173,2025-09-04 10:44:21,2025-09-04 10:47:55,172.98.137.25,AG,2,Kansas City,This is my first time,25-34,Dental Student,,Fourth-year student,No,No,Not Applicable,Rarely (less than once a month),Neutral,Frequently,Neutral,1,Not familiar at all,Somewhat familiar,Not prepared at all,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important
1.15E+11,435224173,2025-04-04 9:04:03,2025-04-04 9:08:35,151.181.86.221,AO,6,Buffalo,3-5 times,35-44,Hygenist,,Practicing Professional,No,Yes,1-2 years,Frequently (weekly or more),Somewhat comfortable,Frequently,Neutral,1,Somewhat familiar,Somewhat familiar,Very prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,More than 5 years,Always,Very important
1.15E+11,435224173,2025-04-04 9:02:25,2025-04-04 9:06:04,174.208.33.106,JO,21,Buffalo,This is my first time,25-34,Dental Student,,Third-year student,No,Yes,Less than 1 month,Never,Neutral,Frequently,Neutral,1,Not familiar at all,Slightly unfamiliar,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important
1.15E+11,435224173,2025-09-03 14:10:55,2025-09-03 14:17:10,136.33.222.182,LO,28,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,No,Not Applicable,Never,Neutral,Frequently,Neutral,1,Not familiar at all,Neutral,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Rarely,Very important
1.15E+11,435224173,2025-09-03 16:49:09,2025-09-03 17:40:38,74.87.163.29,GW,15,Kansas City,This is my first time,18-24,Hygiene Student,,Second-year student,No,Yes,1-2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Not familiar at all,1,Not familiar at all,Not familiar at all,Very prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,1-2 years,Sometimes,Very important
1.15E+11,435224173,2025-04-11 8:59:13,2025-04-11 9:02:26,166.199.150.92,KM,26,Pittsburgh,This is my first time,25-34,Hygenist,,Practicing Professional,No,Yes,Less than 1 month,Occasionally (a few times a month),Neutral,Frequently,Slightly unfamiliar,2,Very familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Important
1.15E+11,435224173,2025-09-04 10:44:13,2025-09-04 10:47:09,136.37.72.221,JUT,23,Kansas City,3-5 times,25-34,Dental Student,,Fourth-year student,No,No,Not Applicable,Never,Slightly uncomfortable,Frequently,Slightly unfamiliar,1,Not familiar at all,Somewhat familiar,Slightly unprepared,"No, I have not worked on an interprofessional team",,,,Not applicable,Rarely,Very important
1.15E+11,435224173,2025-04-04 9:02:16,2025-04-04 9:05:06,174.208.35.213,AM,5,Buffalo,This is my first time,35-44,Dentist,,Practicing Professional,Yes,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,More than 5 years,Sometimes,Very important
1.15E+11,435224173,2025-04-11 8:58:40,2025-04-11 9:15:30,174.242.35.208,CM,10,Pittsburgh,This is my first time,25-34,Hygenist,,Practicing Professional,Yes,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Very familiar,Very prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,3-5 years,Frequently,Very important
1.15E+11,435224173,2025-09-03 14:10:25,2025-09-03 14:14:34,169.147.3.26,DS,12,Kansas City,This is my first time,45-54,Occupational Therapist,,Practicing Professional,Yes,Yes,More than 2 years,Never,Somewhat comfortable,Frequently,Somewhat familiar,4,Slightly unfamiliar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists",,"PT, RN, MD, Social Workers, Teachers, etc.",More than 5 years,Frequently,Very important
1.15E+11,435224173,2025-04-04 13:42:12,2025-04-04 13:44:40,151.181.86.222,MEW,30,Buffalo,This is my first time,18-24,Occupational Therapist,,Practicing Professional,Yes,Yes,1-2 years,Frequently (weekly or more),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Very important
1.15E+11,435224173,2025-04-11 8:59:13,2025-04-11 9:04:20,199.76.117.12,MW,35,Pittsburgh,This is my first time,35-44,Occupational Therapist Student,,Postgraduate/Resident,Yes,Yes,6 months-1 year,Occasionally (a few times a month),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,,"PTs, SLPs",Less than 1 year,Rarely,Very important
1.15E+11,435224173,2025-04-04 9:02:20,2025-04-04 9:05:55,172.56.192.133,ST,45,Buffalo,1-2 times,18-24,Occupational Therapist Student,,Fourth-year student,Yes,Yes,1-2 years,Frequently (weekly or more),Somewhat comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)","RN, PT, SLP, MD",Less than 1 year,Sometimes,Very important
1.15E+11,435224173,2025-04-04 9:03:51,2025-04-04 9:05:23,174.208.33.43,TS,50,Buffalo,1-2 times,25-34,Dentist,,Postgraduate/Resident,No,Yes,1-2 years,Occasionally (a few times a month),Slightly uncomfortable,Sometimes,Somewhat familiar,4,Very familiar,Somewhat familiar,Slightly unprepared,,"Yes, with Occupational Therapists",,,1-2 years,Sometimes,Very important
1.15E+11,435224173,2025-09-03 14:10:54,2025-09-03 14:16:18,199.200.87.99,NZ,39,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,Yes,1-2 years,Occasionally (a few times a month),Neutral,Frequently,Somewhat familiar,3,Neutral,Somewhat familiar,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important
1.15E+11,435224173,2025-09-06 13:19:31,2025-09-06 13:23:07,23.120.116.179,SF,43,Kansas City,3-5 times,25-34,Hygenist,,Practicing Professional,No,Yes,1-2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Somewhat familiar,3,Slightly unfamiliar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Not applicable,Sometimes,Important
